chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,200,132,0.66,15.0,0.044000003
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,188,109,0.57978725,16.0,0.036236703
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation.java,59,52,0.88135594,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation.java,60,50,0.8333333,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,385,190,0.4935065,29.0,0.017017465
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,482,247,0.51244813,35.0,0.014641375
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,246,123,0.5,19.0,0.02631579
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation.java,314,177,0.56369424,25.0,0.02254777
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation.java,64,53,0.828125,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo.java,66,59,0.8939394,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation.java,279,128,0.45878136,23.0,0.019947017
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation.java,347,188,0.54178673,28.0,0.019349527
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation.java,228,105,0.46052632,16.0,0.028782895
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation.java,284,150,0.52816904,22.0,0.024007684
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation.java,276,117,0.42391303,21.0,0.020186335
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation.java,491,242,0.4928717,37.0,0.013320857
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation.java,329,158,0.48024315,29.0,0.01656011
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation.java,272,120,0.44117647,21.0,0.021008404
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation.java,603,325,0.5389718,49.0,0.010999424
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation.java,359,149,0.41504177,36.0,0.011528938
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\Axis.java,Axis.java,1558,773,0.4961489,148.0,0.0033523575
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection.java,127,78,0.61417323,10.0,0.061417323
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation.java,49,43,0.877551,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation.java,83,57,0.686747,6.0,0.11445784
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace.java,342,153,0.4473684,43.0,0.010403916
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState.java,175,109,0.62285715,17.0,0.036638655
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor.java,48,42,0.875,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis.java,1343,593,0.44154876,133.0,0.0033199156
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition.java,229,130,0.5676856,20.0,0.02838428
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions.java,366,149,0.40710384,21.0,0.019385897
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType.java,45,40,0.8888889,0.0,Infinity
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick.java,132,77,0.5833333,11.0,0.0530303
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat.java,149,101,0.67785233,9.0,0.07531693
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,CyclicNumberAxis.java,1048,395,0.3769084,105.0,0.0035896038
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\axis\DateAxis.java,DateAxis.java,1682,619,0.36801428,156.0,0.002359066
