chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,AbstractAnnotation_,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,addChangeListener_AnnotationChangeListener,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,removeChangeListener_AnnotationChangeListener,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,hasListener_EventListener,4,12,3.0,1,3.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,fireAnnotationChanged_,5,5,1.0,2,0.5
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,notifyListeners_AnnotationChangeEvent,11,9,0.8181818,3,0.27272728
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,getNotify_,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,setNotify_boolean,6,8,1.3333334,2,0.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,clone_,5,10,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,writeObject_ObjectOutputStream,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,throws_,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,AbstractXYAnnotation_,5,5,1.0,1,1.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,getToolTipText_,3,9,3.0,1,3.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,setToolTipText_String,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,getURL_,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,setURL_String,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,String_String_String,12,22,1.8333334,3,0.6111111
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,equals_Object,16,7,0.4375,5,0.0875
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,hashCode_,10,5,0.5,3,0.16666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,Paint_Paint_Stroke,13,18,1.3846154,1,1.3846154
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getCategory1_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setCategory1_Comparable,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getValue1_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setValue1_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getCategory2_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setCategory2_Comparable,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getValue2_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setValue2_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getPaint_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setPaint_Paint,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,getStroke_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,setStroke_Stroke,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,CategoryAxis_CategoryAxis_ValueAxis,41,9,0.2195122,3,0.07317073
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,equals_Object,28,7,0.25,9,0.027777778
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,hashCode_,12,5,0.41666666,1,0.41666666
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,clone_,3,8,2.6666667,1,2.6666667
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,writeObject_ObjectOutputStream,5,7,1.4,1,1.4
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,throws_,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,double_double,13,28,2.1538463,1,2.1538463
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getAngle_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setAngle_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getTipRadius_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setTipRadius_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getBaseRadius_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setBaseRadius_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getLabelOffset_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setLabelOffset_double,4,9,2.25,1,2.25
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getArrowLength_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setArrowLength_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getArrowWidth_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setArrowWidth_double,4,8,2.0,1,2.0
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getArrowStroke_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setArrowStroke_Stroke,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,getArrowPaint_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,setArrowPaint_Paint,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,CategoryAxis_CategoryAxis_ValueAxis,65,13,0.2,2,0.1
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,equals_Object,38,7,0.18421052,12,0.015350877
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,hashCode_,18,5,0.2777778,1,0.2777778
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,clone_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,writeObject_ObjectOutputStream,5,7,1.4,1,1.4
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,throws_,5,8,1.6,1,1.6
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,double_double,7,11,1.5714285,1,1.5714285
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,getCategory_,3,7,2.3333333,1,2.3333333
C:\Users\zhouy\Desktop\IFT3913\test\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,setCategory_Comparable,5,8,1.6,1,1.6
